#TAK ADSB IDs RUSSIA Military
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator"

"152897","a-h-A-M-F-Y","RF-90785","IL-22M-11","RUS AF"
"152af5","a-h-A-M-F-C-H","RF-76533","IL-76MD","RUS AF"
"152afa","a-h-A-M-F-C-H","RA-76538","IL-76MD","RUS AF"
"152afe","a-h-A-M-F-C-H","RA-76542","IL-76MD","RUS AF"
"152b00","a-h-A-M-F-C-H","RF-76544","IL-76MD","RUS AF"
"152b02","a-h-A-M-F-C-H","RF-76546","IL-76MD","RUS AF"
"152b03","a-h-A-M-F-C-H","RA-76547","IL-76MD","RUS AF"
"152b04","a-h-A-M-F-C-H","RF-76548","IL-76MD","RUS AF"
"152b05","a-h-A-M-F-C-H","RF-76549","IL-76MD","RUS AF"
"152b06","a-h-A-M-F-C-H","RF-76550","IL-76MD","RUS AF"
"152b07","a-h-A-M-F-C-H","RA-76551","IL-76MD","RUS AF"
"152b08","a-h-A-M-F-C-H","RF-76552","IL-76MD","RUS AF"
"152b09","a-h-A-M-F-C-H","RF-76553","IL-76MD","RUS AF"
"152b0a","a-h-A-M-F-C-H","RF-76554","IL-76MD","RUS AF"
"152b0c","a-h-A-M-F-K","RA-76556","IL-78","RUS AF"
"152b0e","a-h-A-M-F-C-H","RF-76558","IL-76MD","RUS AF"
"152b1c","a-h-A-M-F-C-H","RF-76572","IL-76MD","RUS AF"
"152b21","a-h-A-M-F-C-H","RA-76577","IL-76MD","RUS AF"
"152b30","a-h-A-M-F-C-H","RA-76592","IL-76MD","RUS AF"
"152b37","a-h-A-M-F-C-H","RA-76599","IL-76MD","RUS AF"
"152b3c","a-h-A-M-F-C-H","RF-76604","IL-76MD","RUS AF"
"152b45","a-h-A-M-F-C-H","RF-76613","IL-76MD","RUS AF"
"152b47","a-h-A-M-F-C-H","RF-76615","IL-76MD","RUS AF"
"152b58","a-h-A-M-F-K","RA-76632","IL-78","RUS AF"
"152b5e","a-h-A-M-F-C-H","RA-76638","IL-76MD","RUS AF"
"152b5f","a-h-A-M-F-C-H","RF-76639","IL-76MD","RUS AF"
"152b61","a-h-A-M-F-C-H","RA-76641","IL-76MD","RUS AF"
"152b63","a-h-A-M-F-C-H","RF-76643","IL-76MD","RUS AF"
