#TAK ADSB IDs USAF TANKERS
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator","icontype"

"ae07aa","a-f-A-M-F-K","59-1520","KC-135T","USAF",""
"ae07ab","a-f-A-M-F-K","60-0331","KC-135R","USAF",""
"ae07ac","a-f-A-M-F-K","60-0334","KC-135R","USAF",""
"ae07ad","a-f-A-M-F-K","60-0365","KC-135R","USAF",""
"ae07af","a-f-A-M-F-K","61-0275","KC-135R","USAF",""
"ae07b0","a-f-A-M-F-K","61-0284","KC-135R","USAF",""
"ae07b3","a-f-A-M-F-K","61-0320","KC-135R","USAF",""
"ae07b4","a-f-A-M-F-K","62-3498","KC-135R","USAF",""
"ae07b5","a-f-A-M-F-K","62-3505","KC-135R","USAF",""
"ae07b6","a-f-A-M-F-K","62-3519","KC-135R","USAF",""
"ae07b9","a-f-A-M-F-K","62-3550","KC-135R","USAF",""
"ae07ba","a-f-A-M-F-K","62-3557","KC-135R","USAF",""
"ae07bb","a-f-A-M-F-K","62-3561","KC-135R","USAF",""
"ae07bc","a-f-A-M-F-K","62-3564","KC-135R","USAF",""
"ae07bd","a-f-A-M-F-K","62-3568","KC-135R","USAF",""
"ae07be","a-f-A-M-F-K","62-3578","KC-135R","USAF",""
"ae07bf","a-f-A-M-F-K","63-7979","KC-135R","USAF",""
"ae07c1","a-f-A-M-F-K","63-8017","KC-135R","USAF",""
"ae07c2","a-f-A-M-F-K","63-8020","KC-135R","USAF",""
"ae07c3","a-f-A-M-F-K","63-8023","KC-135R","USAF",""
"ae07c4","a-f-A-M-F-K","63-8873","KC-135R","USAF",""
"ae07c6","a-f-A-M-F-K","64-14831","KC-135R","USAF",""
"ae0847","a-f-A-M-F-K","58-0107","KC-135R","USAF",""
"ae0859","a-f-A-M-F-K","59-1506","KC-135R","USAF",""
"ae085a","a-f-A-M-F-K","59-1519","KC-135R","USAF",""
"ae085b","a-f-A-M-F-K","60-0316","KC-135R","USAF",""
"ae574d","a-f-A-M-F-K","19-46007","KC-46A","USAF",""
"ae574f","a-f-A-M-F-K","15-46009","KC-46A","USAF",""
"ae5751","a-f-A-M-F-K","15-46011","KC-46A","USAF",""
"ae5bbd","a-f-A-M-F-K","16-46012","KC-46A","USAF",""
"ae5bbe","a-f-A-M-F-K","16-46013","KC-46A","USAF",""
"ae5bbf","a-f-A-M-F-K","16-46014","KC-46A","USAF",""
"ae5bc0","a-f-A-M-F-K","16-46015","KC-46A","USAF",""
"ae5bc1","a-f-A-M-F-K","16-46016","KC-46A","USAF",""
"ae5bc2","a-f-A-M-F-K","16-46017","KC-46A","USAF",""
"ae5bc3","a-f-A-M-F-K","16-46018","KC-46A","USAF",""
"ae5bc4","a-f-A-M-F-K","16-46019","KC-46A","USAF",""
"ae5bc5","a-f-A-M-F-K","16-46020","KC-46A","USAF",""
"ae5bc6","a-f-A-M-F-K","16-46021","KC-46A","USAF",""
"ae5bc7","a-f-A-M-F-K","16-46022","KC-46A","USAF",""
"ae5bc8","a-f-A-M-F-K","16-46023","KC-46A","USAF",""
"ae5e05","a-f-A-M-F-K","17-46024","KC-46A","USAF",""
"ae5e06","a-f-A-M-F-K","17-46025","KC-46A","USAF",""
"ae5e07","a-f-A-M-F-K","17-46026","KC-46A","USAF",""
"ae5e08","a-f-A-M-F-K","17-46027","KC-46A","USAF",""
"ae5e0c","a-f-A-M-F-K","17-46031","KC-46A","USAF",""
"ae5e0d","a-f-A-M-F-K","17-46032","KC-46A","USAF",""
"ae5e0e","a-f-A-M-F-K","17-46033","KC-46A","USAF",""
"ae5e0f","a-f-A-M-F-K","17-46034","KC-46A","USAF",""
"ae5e10","a-f-A-M-F-K","17-46035","KC-46A","USAF",""
"ae5e11","a-f-A-M-F-K","17-46036","KC-46A","USAF",""
"ae5e12","a-f-A-M-F-K","17-46037","KC-46A","USAF",""
"ae5e13","a-f-A-M-F-K","17-46038","KC-46A","USAF",""
"ae5f92","a-f-A-M-F-K","18-46039","KC-46A","USAF",""
"ae5f93","a-f-A-M-F-K","18-46040","KC-46A","USAF",""
"ae5f94","a-f-A-M-F-K","18-46041","KC-46A","USAF",""
