#TAK ADSB IDs USAF TRAINERS
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator"

"ae08a1","a-f-A-M-F-T","00-3580","T-6A","USAF #trainer"
"ae08a2","a-f-A-M-F-T","00-3581","T-6A","USAF #trainer"
"ae08a3","a-f-A-M-F-T","00-3582","T-6","USAF #trainer"
"ae08a4","a-f-A-M-F-T","00-3583","T-6","USAF #trainer"
"ae08a7","a-f-A-M-F-T","00-3586","T-6A","USAF #trainer"
"ae08ad","a-f-A-M-F-T","00-3592","T-6","USAF #trainer"
"ae08ae","a-f-A-M-F-T","00-3593","T-6A","USAF #trainer"
"ae08b0","a-f-A-M-F-T","00-3595","T-6A","USAF #trainer"
"ae08b2","a-f-A-M-F-T","00-3597","T-6","USAF #trainer"
"ae10fb","a-f-A-M-F-T","01-3607","T-6A","USAF #trainer"
"ae10fc","a-f-A-M-F-T","01-3608","T-6","USAF #trainer"
"ae10fe","a-f-A-M-F-T","01-3610","T-6","USAF #trainer"
"ae10ff","a-f-A-M-F-T","01-3611","T-6","USAF #trainer"
"ae1104","a-f-A-M-F-T","01-3616","T-6A","USAF #trainer"
"ae1104","a-f-A-M-F-T","01-3616","T-6A","USAF #trainer"
"ae1105","a-f-A-M-F-T","01-3617","T-6A","USAF #trainer"
"ae1106","a-f-A-M-F-T","01-3618","T-6A","USAF #trainer"
"ae1106","a-f-A-M-F-T","01-3618","T-6A","USAF #trainer"
"ae1107","a-f-A-M-F-T","01-3619","T-6A","USAF #trainer"
"ae1108","a-f-A-M-F-T","01-3620","T-6","USAF #trainer"
"ae110c","a-f-A-M-F-T","01-3624","T-6A","USAF #trainer"
"ae110d","a-f-A-M-F-T","01-3625","T-6A","USAF #trainer"
"ae110e","a-f-A-M-F-T","01-3626","T-6C","USAF #trainer"
"ae1110","a-f-A-M-F-T","01-3628","T-6A","USAF #trainer"
"ae1112","a-f-A-M-F-T","01-3630","T-6C","USAF #trainer"
"ae1113","a-f-A-M-F-T","01-3631","T-6","USAF #trainer"
"ae1118","a-f-A-M-F-T","02-3636","T-6","USAF #trainer"
"ae111e","a-f-A-M-F-T","02-3642","T-6A","USAF #trainer"
"ae1121","a-f-A-M-F-T","02-3646","T-6C","USAF #trainer"
"ae1123","a-f-A-M-F-T","02-3647","T-6A","USAF #trainer"
"ae1126","a-f-A-M-F-T","02-3650","T-6A","USAF #trainer"
"ae1127","a-f-A-M-F-T","02-3651","T-6A","USAF #trainer"
"ae1128","a-f-A-M-F-T","02-3652","T-6A","USAF #trainer"
"ae1129","a-f-A-M-F-T","02-3653","T-6A","USAF #trainer"
"ae112a","a-f-A-M-F-T","02-3655","T-6C","USAF #trainer"
"ae112b","a-f-A-M-F-T","02-3655","T-6A","USAF #trainer"
"ae112c","a-f-A-M-F-T","02-3656","T-6A","USAF #trainer"
"ae112d","a-f-A-M-F-T","02-3658","T-6","USAF #trainer"
"ae112e","a-f-A-M-F-T","02-3658","T-6A","USAF #trainer"
"ae112f","a-f-A-M-F-T","02-3659","T-6A","USAF #trainer"
"ae1130","a-f-A-M-F-T","02-3660","T-6A","USAF #trainer"
"ae1133","a-f-A-M-F-T","02-3663","T-6A","USAF #trainer"
"ae1136","a-f-A-M-F-T","02-3666","T-6A","USAF #trainer"
"ae1138","a-f-A-M-F-T","02-3668","T-6A","USAF #trainer"
"ae11ad","a-f-A-M-F-T","03-3675","T-6A","USAF #trainer"
"ae11b0","a-f-A-M-F-T","03-3678","T-6","USAF #trainer"
"ae11b8","a-f-A-M-F-T","03-3686","T-6A","USAF #trainer"
"ae11b9","a-f-A-M-F-T","03-3687","T-6","USAF #trainer"
"ae11bb","a-f-A-M-F-T","03-3689","T-6A","USAF #trainer"
"ae11bc","a-f-A-M-F-T","03-3690","T-6","USAF #trainer"
"ae11bd","a-f-A-M-F-T","03-3691","T-6","USAF #trainer"
"ae11c1","a-f-A-M-F-T","03-3695","T-6A","USAF #trainer"
"ae11c3","a-f-A-M-F-T","03-3697","T-6A","USAF #trainer"
"ae11c5","a-f-A-M-F-T","03-3699","T-6","USAF #trainer"
"ae11c9","a-f-A-M-F-T","03-3703","T-6A","USAF #trainer"
"ae11ca","a-f-A-M-F-T","03-3704","T-6A","USAF #trainer"
"ae11cb","a-f-A-M-F-T","03-3705","T-6A","USAF #trainer"
"ae11d0","a-f-A-M-F-T","03-6203","T-6C","USAF #trainer"
"ae11d1","a-f-A-M-F-T","03-6204","T-6","USAF #trainer"
"ae1254","a-f-A-M-F-T","62-4127","TC-135W","USAF #trainer"
"ae139a","a-f-A-M-F-T","04-3708","T-6A","USAF #trainer"
"ae139c","a-f-A-M-F-T","04-3710","T-6","USAF #trainer"
"ae139e","a-f-A-M-F-T","04-3712","T-6A","USAF #trainer"
"ae13a2","a-f-A-M-F-T","04-3716","T-6A","USAF #trainer"
"ae13a3","a-f-A-M-F-T","04-3717","T-6A","USAF #trainer"
"ae13a4","a-f-A-M-F-T","04-3718","T-6A","USAF #trainer"
"ae13a5","a-f-A-M-F-T","04-3719","T-6A","USAF #trainer"
"ae13aa","a-f-A-M-F-T","04-3724","T-6A","USAF #trainer"
"ae13ac","a-f-A-M-F-T","04-3726","T-6A","USAF #trainer"
"ae13b0","a-f-A-M-F-T","04-3730","T-6","USAF #trainer"
"ae13b1","a-f-A-M-F-T","04-3731","T-6A","USAF #trainer"
"ae13b3","a-f-A-M-F-T","04-3733","T-6","USAF #trainer"
"ae13b4","a-f-A-M-F-T","04-3734","T-6C","USAF #trainer"
"ae13b5","a-f-A-M-F-T","04-3735","T-6","USAF #trainer"
"ae13b6","a-f-A-M-F-T","04-3736","T-6A","USAF #trainer"
"ae13b7","a-f-A-M-F-T","04-3737","T-6","USAF #trainer"
"ae13b9","a-f-A-M-F-T","04-3739","T-6A","USAF #trainer"
"ae13ba","a-f-A-M-F-T","04-3740","T-6","USAF #trainer"
"ae13bb","a-f-A-M-F-T","04-3741","T-6","USAF #trainer"
"ae13bd","a-f-A-M-F-T","04-3743","T-6","USAF #trainer"
"ae13be","a-f-A-M-F-T","04-3744","T-6","USAF #trainer"
"ae13bf","a-f-A-M-F-T","04-3745","T-6","USAF #trainer"
"ae13c0","a-f-A-M-F-T","04-3746","T-6","USAF #trainer"
"ae13c1","a-f-A-M-F-T","04-3747","T-6","USAF #trainer"
"ae13c3","a-f-A-M-F-T","04-3749","T-6A","USAF #trainer"
"ae13c4","a-f-A-M-F-T","04-3750","T-6A","USAF #trainer"
"ae13c6","a-f-A-M-F-T","04-3752","T-6A","USAF #trainer"
"ae13c7","a-f-A-M-F-T","04-3753","T-6","USAF #trainer"
"ae13ca","a-f-A-M-F-T","04-3756","T-6","USAF #trainer"
"ae13cd","a-f-A-M-F-T","04-3759","T-6A","USAF #trainer"
"ae13ce","a-f-A-M-F-T","04-6205","T-6","USAF #trainer"
